week_ending,country,simd_quintile,deaths,average20152019,percent_variation
2020-03-01,S92000003,1,263,273.8,-3.9
2020-03-01,S92000003,2,257,259.2,-0.8
2020-03-01,S92000003,3,252,245.8,2.5
2020-03-01,S92000003,4,186,202.2,-8
2020-03-01,S92000003,5,207,180.2,14.9
2020-03-08,S92000003,1,293,300,-2.3
2020-03-08,S92000003,2,267,278.8,-4.2
2020-03-08,S92000003,3,240,258.8,-7.3
2020-03-08,S92000003,4,213,201.6,5.7
2020-03-08,S92000003,5,192,185.4,3.6
2020-03-15,S92000003,1,305,277,10.1
2020-03-15,S92000003,2,282,274.4,2.8
2020-03-15,S92000003,3,232,246,-5.7
2020-03-15,S92000003,4,207,201.6,2.7
2020-03-15,S92000003,5,166,166.6,-0.4
2020-03-22,S92000003,1,251,273.4,-8.2
2020-03-22,S92000003,2,280,251.2,11.5
2020-03-22,S92000003,3,273,236.6,15.4
2020-03-22,S92000003,4,211,197.4,6.9
2020-03-22,S92000003,5,178,156.2,14
2020-03-29,S92000003,1,231,267.6,-13.7
2020-03-29,S92000003,2,230,253.2,-9.2
2020-03-29,S92000003,3,245,243,0.8
2020-03-29,S92000003,4,203,188,8
2020-03-29,S92000003,5,169,161.4,4.7
2020-04-05,S92000003,1,457,275.4,65.9
2020-04-05,S92000003,2,389,248.4,56.6
2020-04-05,S92000003,3,362,235.4,53.8
2020-04-05,S92000003,4,283,179.2,57.9
2020-04-05,S92000003,5,248,155.2,59.8
2020-04-12,S92000003,1,514,260.4,97.4
2020-04-12,S92000003,2,443,256.6,72.6
2020-04-12,S92000003,3,376,222.2,69.2
2020-04-12,S92000003,4,363,195.6,85.6
2020-04-12,S92000003,5,277,160.4,72.7
2020-04-19,S92000003,1,491,268,83.2
2020-04-19,S92000003,2,419,237,76.8
2020-04-19,S92000003,3,387,222.8,73.7
2020-04-19,S92000003,4,318,186,71
2020-04-19,S92000003,5,294,148.4,98.1
2020-04-26,S92000003,1,483,253.8,90.3
2020-04-26,S92000003,2,418,233,79.4
2020-04-26,S92000003,3,338,238,42
2020-04-26,S92000003,4,324,196.2,65.1
2020-04-26,S92000003,5,271,159.8,69.6
2020-05-03,S92000003,1,421,258.8,62.7
2020-05-03,S92000003,2,380,240.8,57.8
2020-05-03,S92000003,3,325,223.4,45.5
2020-05-03,S92000003,4,305,185.4,64.5
2020-05-03,S92000003,5,242,166.6,45.3
2020-05-10,S92000003,1,378,256.6,47.3
2020-05-10,S92000003,2,282,226.6,24.4
2020-05-10,S92000003,3,273,217.6,25.5
2020-05-10,S92000003,4,271,171.4,58.1
2020-05-10,S92000003,5,230,156,47.4
2020-05-17,S92000003,1,350,264.6,32.3
2020-05-17,S92000003,2,312,248.6,25.5
2020-05-17,S92000003,3,290,218.2,32.9
2020-05-17,S92000003,4,258,175.6,46.9
2020-05-17,S92000003,5,210,151.8,38.3
2020-05-24,S92000003,1,265,251.8,5.2
2020-05-24,S92000003,2,288,229.2,25.7
2020-05-24,S92000003,3,253,221.2,14.4
2020-05-24,S92000003,4,226,177.2,27.5
2020-05-24,S92000003,5,189,158.6,19.2
2020-05-31,S92000003,1,267,257.6,3.6
2020-05-31,S92000003,2,256,228,12.3
2020-05-31,S92000003,3,229,201.6,13.6
2020-05-31,S92000003,4,198,178.2,11.1
2020-05-31,S92000003,5,175,146,19.9
2020-06-07,S92000003,1,250,263.2,-5
2020-06-07,S92000003,2,244,241.4,1.1
2020-06-07,S92000003,3,216,214.8,0.6
2020-06-07,S92000003,4,208,173,20.2
2020-06-07,S92000003,5,172,154.8,11.1
2020-06-14,S92000003,1,274,244.8,11.9
2020-06-14,S92000003,2,230,222.8,3.2
2020-06-14,S92000003,3,211,209.4,0.8
2020-06-14,S92000003,4,178,166.6,6.8
2020-06-14,S92000003,5,140,150.2,-6.8
2020-06-21,S92000003,1,243,249.6,-2.6
2020-06-21,S92000003,2,262,226,15.9
2020-06-21,S92000003,3,228,218.4,4.4
2020-06-21,S92000003,4,170,179.8,-5.5
2020-06-21,S92000003,5,162,142.2,13.9
2020-06-28,S92000003,1,261,241.2,8.2
2020-06-28,S92000003,2,188,227.4,-17.3
2020-06-28,S92000003,3,197,217.2,-9.3
2020-06-28,S92000003,4,187,181.6,3
2020-06-28,S92000003,5,173,152,13.8
2020-07-05,S92000003,1,265,248.4,6.7
2020-07-05,S92000003,2,201,228.6,-12.1
2020-07-05,S92000003,3,195,222.2,-12.2
