WeekEnding,HSCP,AgeGroup,AgeGroupQF,Sex,SexQF,Deaths,Average20152019,PercentVariation,PercentVariationQF
20210214,S37000010,All ages,d,Male,"",9,10.2,-11.8,""
20210214,S37000011,Under 65,"",All,d,4,3.2,25,""
20210214,S37000011,65 and over,"",All,d,16,18,-11.1,""
20210214,S37000011,All ages,d,All,d,20,21.2,-5.7,""
20210214,S37000011,All ages,d,Female,"",11,10.2,7.8,""
20210214,S37000011,All ages,d,Male,"",9,11,-18.2,""
20210214,S37000012,Under 65,"",All,d,25,14.4,73.6,""
20210214,S37000012,65 and over,"",All,d,68,80,-15,""
20210214,S37000012,All ages,d,All,d,93,94.4,-1.5,""
20210214,S37000012,All ages,d,Female,"",44,50,-12,""
20210214,S37000012,All ages,d,Male,"",49,44.4,10.4,""
20210214,S37000013,Under 65,"",All,d,18,6,200,""
20210214,S37000013,65 and over,"",All,d,43,28.2,52.5,""
20210214,S37000013,All ages,d,All,d,61,34.2,78.4,""
20210214,S37000013,All ages,d,Female,"",31,17.6,76.1,""
20210214,S37000013,All ages,d,Male,"",30,16.6,80.7,""
20210214,S37000016,Under 65,"",All,d,7,8.2,-14.6,""
20210214,S37000016,65 and over,"",All,d,60,39.6,51.5,""
20210214,S37000016,All ages,d,All,d,67,47.8,40.2,""
20210214,S37000016,All ages,d,Female,"",34,24.4,39.3,""
20210214,S37000016,All ages,d,Male,"",33,23.4,41,""
20210214,S37000017,Under 65,"",All,d,5,3,66.7,""
20210214,S37000017,65 and over,"",All,d,18,17.8,1.1,""
20210214,S37000017,All ages,d,All,d,23,20.8,10.6,""
20210214,S37000017,All ages,d,Female,"",14,11.4,22.8,""
20210214,S37000017,All ages,d,Male,"",9,9.4,-4.3,""
20210214,S37000018,Under 65,"",All,d,6,2,200,""
20210214,S37000018,65 and over,"",All,d,17,12.6,34.9,""
20210214,S37000018,All ages,d,All,d,23,14.6,57.5,""
20210214,S37000018,All ages,d,Female,"",15,6.4,134.4,""
20210214,S37000018,All ages,d,Male,"",8,8.2,-2.4,""
20210214,S37000019,Under 65,"",All,d,4,1.8,122.2,""
20210214,S37000019,65 and over,"",All,d,18,19.8,-9.1,""
20210214,S37000019,All ages,d,All,d,22,21.6,1.9,""
20210214,S37000019,All ages,d,Female,"",12,12.4,-3.2,""
20210214,S37000019,All ages,d,Male,"",10,9.2,8.7,""
20210214,S37000020,Under 65,"",All,d,9,4.6,95.7,""
20210214,S37000020,65 and over,"",All,d,47,29.6,58.8,""
20210214,S37000020,All ages,d,All,d,56,34.2,63.7,""
20210214,S37000020,All ages,d,Female,"",25,18.8,33,""
20210214,S37000020,All ages,d,Male,"",31,15.4,101.3,""
20210214,S37000022,Under 65,"",All,d,0,0.6,-100,""
20210214,S37000022,65 and over,"",All,d,5,3.8,31.6,""
20210214,S37000022,All ages,d,All,d,5,4.4,13.6,""
20210214,S37000022,All ages,d,Female,"",4,2.8,42.9,""
20210214,S37000022,All ages,d,Male,"",1,1.6,-37.5,""
20210214,S37000024,Under 65,"",All,d,12,10,20,""
20210214,S37000024,65 and over,"",All,d,38,40.6,-6.4,""
20210214,S37000024,All ages,d,All,d,50,50.6,-1.2,""
20210214,S37000024,All ages,d,Female,"",23,28,-17.9,""
20210214,S37000024,All ages,d,Male,"",27,22.6,19.5,""
20210214,S37000025,Under 65,"",All,d,7,2.8,150,""
20210214,S37000025,65 and over,"",All,d,28,22.8,22.8,""
20210214,S37000025,All ages,d,All,d,35,25.6,36.7,""
20210214,S37000025,All ages,d,Female,"",17,12.6,34.9,""
20210214,S37000025,All ages,d,Male,"",18,13,38.5,""
20210214,S37000026,Under 65,"",All,d,2,1,100,""
20210214,S37000026,65 and over,"",All,d,4,4.4,-9.1,""
20210214,S37000026,All ages,d,All,d,6,5.4,11.1,""
20210214,S37000026,All ages,d,Female,"",1,2.6,-61.5,""
20210214,S37000026,All ages,d,Male,"",5,2.8,78.6,""
20210214,S37000027,Under 65,"",All,d,3,4.8,-37.5,""
20210214,S37000027,65 and over,"",All,d,30,26,15.4,""
20210214,S37000027,All ages,d,All,d,33,30.8,7.1,""
20210214,S37000027,All ages,d,Female,"",20,16.6,20.5,""
20210214,S37000027,All ages,d,Male,"",13,14.2,-8.5,""
20210214,S37000028,Under 65,"",All,d,10,15.6,-35.9,""
20210214,S37000028,65 and over,"",All,d,74,66.8,10.8,""
20210214,S37000028,All ages,d,All,d,84,82.4,1.9,""
20210214,S37000028,All ages,d,Female,"",39,44.4,-12.2,""
20210214,S37000028,All ages,d,Male,"",45,38,18.4,""
20210214,S37000029,Under 65,"",All,d,8,4.2,90.5,""
20210214,S37000029,65 and over,"",All,d,18,18.4,-2.2,""
20210214,S37000029,All ages,d,All,d,26,22.6,15,""
20210214,S37000029,All ages,d,Female,"",14,10.8,29.6,""
20210214,S37000029,All ages,d,Male,"",12,11.8,1.7,""
20210214,S37000030,Under 65,"",All,d,2,5.4,-63,""
20210214,S37000030,65 and over,"",All,d,34,25.6,32.8,""
20210214,S37000030,All ages,d,All,d,36,31,16.1,""
20210214,S37000030,All ages,d,Female,"",16,16.6,-3.6,""
20210214,S37000030,All ages,d,Male,"",20,14.4,38.9,""
20210214,S37000031,Under 65,"",All,d,3,1.2,150,""
20210214,S37000031,65 and over,"",All,d,4,7.4,-45.9,""
20210214,S37000031,All ages,d,All,d,7,8.6,-18.6,""
20210214,S37000031,All ages,d,Female,"",1,5,-80,""
20210214,S37000031,All ages,d,Male,"",6,3.6,66.7,""
20210214,S37000032,Under 65,"",All,d,12,16.8,-28.6,""
20210214,S37000032,65 and over,"",All,d,76,76.6,-0.8,""
20210214,S37000032,All ages,d,All,d,88,93.4,-5.8,""
20210214,S37000032,All ages,d,Female,"",44,49.4,-10.9,""
20210214,S37000032,All ages,d,Male,"",44,44,0,""
20210214,S37000033,Under 65,"",All,d,4,4.6,-13,""
20210214,S37000033,65 and over,"",All,d,28,29.6,-5.4,""
20210214,S37000033,All ages,d,All,d,32,34.2,-6.4,""
20210214,S37000033,All ages,d,Female,"",11,18.8,-41.5,""
20210214,S37000033,All ages,d,Male,"",21,15.4,36.4,""
20210214,S37000034,Under 65,"",All,d,52,35.8,45.3,""
20210214,S37000034,65 and over,"",All,d,117,106,10.4,""
20210214,S37000034,All ages,d,All,d,169,141.8,19.2,""
20210214,S37000034,All ages,d,Female,"",89,72.2,23.3,""
20210214,S37000034,All ages,d,Male,"",80,69.6,14.9,""
20210214,S37000035,Under 65,"",All,d,12,17.2,-30.2,""
20210214,S37000035,65 and over,"",All,d,76,66.8,13.8,""
20210214,S37000035,All ages,d,All,d,88,84,4.8,""
20210214,S37000035,All ages,d,Female,"",45,41,9.8,""
20210214,S37000035,All ages,d,Male,"",43,43,0,""
20210221,S37000001,Under 65,"",All,d,8,9.6,-16.7,""
20210221,S37000001,65 and over,"",All,d,41,39.2,4.6,""
20210221,S37000001,All ages,d,All,d,49,48.8,0.4,""
20210221,S37000001,All ages,d,Female,"",25,24.8,0.8,""
20210221,S37000001,All ages,d,Male,"",24,24,0,""
20210221,S37000002,Under 65,"",All,d,8,8.4,-4.8,""
20210221,S37000002,65 and over,"",All,d,50,44.2,13.1,""
20210221,S37000002,All ages,d,All,d,58,52.6,10.3,""
20210221,S37000002,All ages,d,Female,"",31,30.2,2.6,""
20210221,S37000002,All ages,d,Male,"",27,22.4,20.5,""
20210221,S37000003,Under 65,"",All,d,8,4,100,""
20210221,S37000003,65 and over,"",All,d,26,25.8,0.8,""
20210221,S37000003,All ages,d,All,d,34,29.8,14.1,""
20210221,S37000003,All ages,d,Female,"",18,15.8,13.9,""
20210221,S37000003,All ages,d,Male,"",16,14,14.3,""
20210221,S37000004,Under 65,"",All,d,1,1.4,-28.6,""
20210221,S37000004,65 and over,"",All,d,28,22,27.3,""
20210221,S37000004,All ages,d,All,d,29,23.4,23.9,""
20210221,S37000004,All ages,d,Female,"",17,12.4,37.1,""
20210221,S37000004,All ages,d,Male,"",12,11,9.1,""
20210221,S37000005,Under 65,"",All,d,8,5.6,42.9,""
20210221,S37000005,65 and over,"",All,d,35,20.8,68.3,""
20210221,S37000005,All ages,d,All,d,43,26.4,62.9,""
20210221,S37000005,All ages,d,Female,"",22,14.4,52.8,""
20210221,S37000005,All ages,d,Male,"",21,12,75,""
20210221,S37000006,Under 65,"",All,d,8,6.2,29,""
20210221,S37000006,65 and over,"",All,d,30,36.8,-18.5,""
20210221,S37000006,All ages,d,All,d,38,43,-11.6,""
20210221,S37000006,All ages,d,Female,"",16,23,-30.4,""
20210221,S37000006,All ages,d,Male,"",22,20,10,""
20210221,S37000007,Under 65,"",All,d,8,9.2,-13,""
20210221,S37000007,65 and over,"",All,d,30,29.8,0.7,""
20210221,S37000007,All ages,d,All,d,38,39,-2.6,""
20210221,S37000007,All ages,d,Female,"",21,19.6,7.1,""
20210221,S37000007,All ages,d,Male,"",17,19.4,-12.4,""
20210221,S37000008,Under 65,"",All,d,7,7,0,""
20210221,S37000008,65 and over,"",All,d,21,28,-25,""
20210221,S37000008,All ages,d,All,d,28,35,-20,""
20210221,S37000008,All ages,d,Female,"",15,19.4,-22.7,""
20210221,S37000008,All ages,d,Male,"",13,15.6,-16.7,""
20210221,S37000009,Under 65,"",All,d,4,5,-20,""
20210221,S37000009,65 and over,"",All,d,33,22.6,46,""
20210221,S37000009,All ages,d,All,d,37,27.6,34.1,""
20210221,S37000009,All ages,d,Female,"",19,13.6,39.7,""
20210221,S37000009,All ages,d,Male,"",18,14,28.6,""
20210221,S37000010,Under 65,"",All,d,7,3.2,118.7,""
20210221,S37000010,65 and over,"",All,d,25,20.4,22.5,""
20210221,S37000010,All ages,d,All,d,32,23.6,35.6,""
20210221,S37000010,All ages,d,Female,"",15,13.2,13.6,""
20210221,S37000010,All ages,d,Male,"",17,10.4,63.5,""
20210221,S37000011,Under 65,"",All,d,4,2,100,""
20210221,S37000011,65 and over,"",All,d,16,16.2,-1.2,""
20210221,S37000011,All ages,d,All,d,20,18.2,9.9,""
20210221,S37000011,All ages,d,Female,"",8,11,-27.3,""
20210221,S37000011,All ages,d,Male,"",12,7.2,66.7,""
20210221,S37000012,Under 65,"",All,d,14,14.6,-4.1,""
20210221,S37000012,65 and over,"",All,d,83,77.6,7,""
20210221,S37000012,All ages,d,All,d,97,92.2,5.2,""
20210221,S37000012,All ages,d,Female,"",51,50,2,""
20210221,S37000012,All ages,d,Male,"",46,42.2,9,""
20210221,S37000013,Under 65,"",All,d,7,6.4,9.4,""
20210221,S37000013,65 and over,"",All,d,43,30.6,40.5,""
20210221,S37000013,All ages,d,All,d,50,37,35.1,""
20210221,S37000013,All ages,d,Female,"",29,18.4,57.6,""
20210221,S37000013,All ages,d,Male,"",21,18.6,12.9,""
20210221,S37000016,Under 65,"",All,d,10,7,42.9,""
20210221,S37000016,65 and over,"",All,d,54,44.6,21.1,""
20210221,S37000016,All ages,d,All,d,64,51.6,24,""
20210221,S37000016,All ages,d,Female,"",29,24.4,18.9,""
20210221,S37000016,All ages,d,Male,"",35,27.2,28.7,""
20210221,S37000017,Under 65,"",All,d,6,4.2,42.9,""
20210221,S37000017,65 and over,"",All,d,19,17,11.8,""
20210221,S37000017,All ages,d,All,d,25,21.2,17.9,""
20210221,S37000017,All ages,d,Female,"",7,11,-36.4,""
20210221,S37000017,All ages,d,Male,"",18,10.2,76.5,""
20210221,S37000018,Under 65,"",All,d,4,4,0,""
20210221,S37000018,65 and over,"",All,d,12,13.4,-10.4,""
20210221,S37000018,All ages,d,All,d,16,17.4,-8,""
20210221,S37000018,All ages,d,Female,"",6,8.4,-28.6,""
20210221,S37000018,All ages,d,Male,"",10,9,11.1,""
20210221,S37000019,Under 65,"",All,d,2,2.4,-16.7,""
20210221,S37000019,65 and over,"",All,d,19,20.8,-8.7,""
20210221,S37000019,All ages,d,All,d,21,23.2,-9.5,""
20210221,S37000019,All ages,d,Female,"",11,12.6,-12.7,""
20210221,S37000019,All ages,d,Male,"",10,10.6,-5.7,""
20210221,S37000020,Under 65,"",All,d,8,3,166.7,""
20210221,S37000020,65 and over,"",All,d,35,28.6,22.4,""
20210221,S37000020,All ages,d,All,d,43,31.6,36.1,""
20210221,S37000020,All ages,d,Female,"",22,17.2,27.9,""
20210221,S37000020,All ages,d,Male,"",21,14.4,45.8,""
20210221,S37000022,Under 65,"",All,d,0,1.4,-100,""
20210221,S37000022,65 and over,"",All,d,6,4.4,36.4,""
20210221,S37000022,All ages,d,All,d,6,5.8,3.4,""
20210221,S37000022,All ages,d,Female,"",3,2.4,25,""
20210221,S37000022,All ages,d,Male,"",3,3.4,-11.8,""
20210221,S37000024,Under 65,"",All,d,7,7.6,-7.9,""
20210221,S37000024,65 and over,"",All,d,45,37,21.6,""
20210221,S37000024,All ages,d,All,d,52,44.6,16.6,""
20210221,S37000024,All ages,d,Female,"",30,22,36.4,""
20210221,S37000024,All ages,d,Male,"",22,22.6,-2.7,""
20210221,S37000025,Under 65,"",All,d,5,4.2,19,""
20210221,S37000025,65 and over,"",All,d,22,23.8,-7.6,""
20210221,S37000025,All ages,d,All,d,27,28,-3.6,""
20210221,S37000025,All ages,d,Female,"",12,13.6,-11.8,""
20210221,S37000025,All ages,d,Male,"",15,14.4,4.2,""
20210221,S37000026,Under 65,"",All,d,1,1.2,-16.7,""
20210221,S37000026,65 and over,"",All,d,1,3.8,-73.7,""
20210221,S37000026,All ages,d,All,d,2,5,-60,""
20210221,S37000026,All ages,d,Female,"",1,2.2,-54.5,""
20210221,S37000026,All ages,d,Male,"",1,2.8,-64.3,""
20210221,S37000027,Under 65,"",All,d,6,3.6,66.7,""
20210221,S37000027,65 and over,"",All,d,30,31,-3.2,""
20210221,S37000027,All ages,d,All,d,36,34.6,4,""
20210221,S37000027,All ages,d,Female,"",15,19,-21.1,""
20210221,S37000027,All ages,d,Male,"",21,15.6,34.6,""
20210221,S37000028,Under 65,"",All,d,19,12.8,48.4,""
20210221,S37000028,65 and over,"",All,d,89,62.2,43.1,""
20210221,S37000028,All ages,d,All,d,108,75,44,""
20210221,S37000028,All ages,d,Female,"",67,39.6,69.2,""
20210221,S37000028,All ages,d,Male,"",41,35.4,15.8,""
20210221,S37000029,Under 65,"",All,d,6,6.4,-6.3,""
20210221,S37000029,65 and over,"",All,d,22,18.4,19.6,""
20210221,S37000029,All ages,d,All,d,28,24.8,12.9,""
20210221,S37000029,All ages,d,Female,"",18,12.8,40.6,""
20210221,S37000029,All ages,d,Male,"",10,12,-16.7,""
20210221,S37000030,Under 65,"",All,d,7,5.4,29.6,""
20210221,S37000030,65 and over,"",All,d,33,26.2,26,""
20210221,S37000030,All ages,d,All,d,40,31.6,26.6,""
20210221,S37000030,All ages,d,Female,"",17,16.2,4.9,""
20210221,S37000030,All ages,d,Male,"",23,15.4,49.4,""
20210221,S37000031,Under 65,"",All,d,0,0.6,-100,""
20210221,S37000031,65 and over,"",All,d,9,6.8,32.4,""
20210221,S37000031,All ages,d,All,d,9,7.4,21.6,""
20210221,S37000031,All ages,d,Female,"",4,3.6,11.1,""
20210221,S37000031,All ages,d,Male,"",5,3.8,31.6,""
20210221,S37000032,Under 65,"",All,d,13,13.8,-5.8,""
20210221,S37000032,65 and over,"",All,d,90,80.4,11.9,""
20210221,S37000032,All ages,d,All,d,103,94.2,9.3,""
20210221,S37000032,All ages,d,Female,"",47,51,-7.8,""
20210221,S37000032,All ages,d,Male,"",56,43.2,29.6,""
20210221,S37000033,Under 65,"",All,d,4,6,-33.3,""
20210221,S37000033,65 and over,"",All,d,45,32.4,38.9,""
20210221,S37000033,All ages,d,All,d,49,38.4,27.6,""
20210221,S37000033,All ages,d,Female,"",19,22.6,-15.9,""
20210221,S37000033,All ages,d,Male,"",30,15.8,89.9,""
20210221,S37000034,Under 65,"",All,d,46,35.8,28.5,""
20210221,S37000034,65 and over,"",All,d,110,109.4,0.5,""
20210221,S37000034,All ages,d,All,d,156,145.2,7.4,""
20210221,S37000034,All ages,d,Female,"",81,76,6.6,""
20210221,S37000034,All ages,d,Male,"",75,69.2,8.4,""
20210221,S37000035,Under 65,"",All,d,17,15,13.3,""
20210221,S37000035,65 and over,"",All,d,66,64.2,2.8,""
20210221,S37000035,All ages,d,All,d,83,79.2,4.8,""
20210221,S37000035,All ages,d,Female,"",39,38.6,1,""
20210221,S37000035,All ages,d,Male,"",44,40.6,8.4,""
20210228,S37000001,Under 65,"",All,d,11,9.2,19.6,""
20210228,S37000001,65 and over,"",All,d,31,36.4,-14.8,""
20210228,S37000001,All ages,d,All,d,42,45.6,-7.9,""
20210228,S37000001,All ages,d,Female,"",20,24.6,-18.7,""
20210228,S37000001,All ages,d,Male,"",22,21,4.8,""
20210228,S37000002,Under 65,"",All,d,7,5.6,25,""
20210228,S37000002,65 and over,"",All,d,52,45,15.6,""
20210228,S37000002,All ages,d,All,d,59,50.6,16.6,""
20210228,S37000002,All ages,d,Female,"",29,26.8,8.2,""
20210228,S37000002,All ages,d,Male,"",30,23.8,26.1,""
20210228,S37000003,Under 65,"",All,d,6,4,50,""
20210228,S37000003,65 and over,"",All,d,21,24.8,-15.3,""
20210228,S37000003,All ages,d,All,d,27,28.8,-6.3,""
20210228,S37000003,All ages,d,Female,"",11,15.8,-30.4,""
20210228,S37000003,All ages,d,Male,"",16,13,23.1,""
20210228,S37000004,Under 65,"",All,d,5,2.4,108.3,""
20210228,S37000004,65 and over,"",All,d,35,20.8,68.3,""
20210228,S37000004,All ages,d,All,d,40,23.2,72.4,""
20210228,S37000004,All ages,d,Female,"",28,11.6,141.4,""
20210228,S37000004,All ages,d,Male,"",12,11.6,3.4,""
20210228,S37000005,Under 65,"",All,d,10,6,66.7,""
20210228,S37000005,65 and over,"",All,d,36,26.2,37.4,""
20210228,S37000005,All ages,d,All,d,46,32.2,42.9,""
20210228,S37000005,All ages,d,Female,"",26,16,62.5,""
20210228,S37000005,All ages,d,Male,"",20,16.2,23.5,""
20210228,S37000006,Under 65,"",All,d,6,4,50,""
20210228,S37000006,65 and over,"",All,d,31,35.4,-12.4,""
20210228,S37000006,All ages,d,All,d,37,39.4,-6.1,""
20210228,S37000006,All ages,d,Female,"",14,19.8,-29.3,""
20210228,S37000006,All ages,d,Male,"",23,19.6,17.3,""
20210228,S37000007,Under 65,"",All,d,12,6.8,76.5,""
20210228,S37000007,65 and over,"",All,d,34,32.2,5.6,""
20210228,S37000007,All ages,d,All,d,46,39,17.9,""
20210228,S37000007,All ages,d,Female,"",28,20.6,35.9,""
20210228,S37000007,All ages,d,Male,"",18,18.4,-2.2,""
20210228,S37000008,Under 65,"",All,d,3,4.6,-34.8,""
20210228,S37000008,65 and over,"",All,d,35,27,29.6,""
20210228,S37000008,All ages,d,All,d,38,31.6,20.3,""
20210228,S37000008,All ages,d,Female,"",23,17.2,33.7,""
20210228,S37000008,All ages,d,Male,"",15,14.4,4.2,""
20210228,S37000009,Under 65,"",All,d,2,2.2,-9.1,""
20210228,S37000009,65 and over,"",All,d,26,18.8,38.3,""
20210228,S37000009,All ages,d,All,d,28,21,33.3,""
20210228,S37000009,All ages,d,Female,"",18,13,38.5,""
20210228,S37000009,All ages,d,Male,"",10,8,25,""
20210228,S37000010,Under 65,"",All,d,3,2.6,15.4,""
20210228,S37000010,65 and over,"",All,d,24,21.2,13.2,""
20210228,S37000010,All ages,d,All,d,27,23.8,13.4,""
20210228,S37000010,All ages,d,Female,"",10,13.2,-24.2,""
20210228,S37000010,All ages,d,Male,"",17,10.6,60.4,""
20210228,S37000011,Under 65,"",All,d,5,3.2,56.2,""
20210228,S37000011,65 and over,"",All,d,18,18,0,""
20210228,S37000011,All ages,d,All,d,23,21.2,8.5,""
20210228,S37000011,All ages,d,Female,"",14,12.6,11.1,""
20210228,S37000011,All ages,d,Male,"",9,8.6,4.7,""
20210228,S37000012,Under 65,"",All,d,25,14.8,68.9,""
20210228,S37000012,65 and over,"",All,d,73,79.2,-7.8,""
20210228,S37000012,All ages,d,All,d,98,94,4.3,""
20210228,S37000012,All ages,d,Female,"",54,51.2,5.5,""
20210228,S37000012,All ages,d,Male,"",44,42.8,2.8,""
20210228,S37000013,Under 65,"",All,d,10,7.6,31.6,""
20210228,S37000013,65 and over,"",All,d,45,30.4,48,""
20210228,S37000013,All ages,d,All,d,55,38,44.7,""
20210228,S37000013,All ages,d,Female,"",27,18.6,45.2,""
20210228,S37000013,All ages,d,Male,"",28,19.4,44.3,""
20210228,S37000016,Under 65,"",All,d,8,6.8,17.6,""
20210228,S37000016,65 and over,"",All,d,42,44.2,-5,""
20210228,S37000016,All ages,d,All,d,50,51,-2,""
20210228,S37000016,All ages,d,Female,"",29,25.4,14.2,""
20210228,S37000016,All ages,d,Male,"",21,25.6,-18,""
20210228,S37000017,Under 65,"",All,d,1,3.4,-70.6,""
20210228,S37000017,65 and over,"",All,d,22,19.4,13.4,""
20210228,S37000017,All ages,d,All,d,23,22.8,0.9,""
20210228,S37000017,All ages,d,Female,"",12,11,9.1,""
20210228,S37000017,All ages,d,Male,"",11,11.8,-6.8,""
20210228,S37000018,Under 65,"",All,d,3,3.4,-11.8,""
20210228,S37000018,65 and over,"",All,d,21,12.8,64.1,""
20210228,S37000018,All ages,d,All,d,24,16.2,48.1,""
20210228,S37000018,All ages,d,Female,"",12,9.4,27.7,""
20210228,S37000018,All ages,d,Male,"",12,6.8,76.5,""
20210228,S37000019,Under 65,"",All,d,5,3.2,56.2,""
20210228,S37000019,65 and over,"",All,d,14,22,-36.4,""
20210228,S37000019,All ages,d,All,d,19,25.2,-24.6,""
20210228,S37000019,All ages,d,Female,"",9,11.8,-23.7,""
20210228,S37000019,All ages,d,Male,"",10,13.4,-25.4,""
20210228,S37000020,Under 65,"",All,d,6,9.6,-37.5,""
20210228,S37000020,65 and over,"",All,d,33,35.6,-7.3,""
20210228,S37000020,All ages,d,All,d,39,45.2,-13.7,""
20210228,S37000020,All ages,d,Female,"",18,24.6,-26.8,""
20210228,S37000020,All ages,d,Male,"",21,20.6,1.9,""
20210228,S37000022,Under 65,"",All,d,0,0.6,-100,""
20210228,S37000022,65 and over,"",All,d,6,4.4,36.4,""
20210228,S37000022,All ages,d,All,d,6,5,20,""
20210228,S37000022,All ages,d,Female,"",2,3.2,-37.5,""
20210228,S37000022,All ages,d,Male,"",4,1.8,122.2,""
20210228,S37000024,Under 65,"",All,d,4,7.4,-45.9,""
20210228,S37000024,65 and over,"",All,d,40,33.8,18.3,""
20210228,S37000024,All ages,d,All,d,44,41.2,6.8,""
20210228,S37000024,All ages,d,Female,"",23,22,4.5,""
20210228,S37000024,All ages,d,Male,"",21,19.2,9.4,""
20210228,S37000025,Under 65,"",All,d,2,4.8,-58.3,""
20210228,S37000025,65 and over,"",All,d,32,22.8,40.4,""
20210228,S37000025,All ages,d,All,d,34,27.6,23.2,""
20210228,S37000025,All ages,d,Female,"",17,14.4,18.1,""
20210228,S37000025,All ages,d,Male,"",17,13.2,28.8,""
20210228,S37000026,Under 65,"",All,d,0,1.6,-100,""
20210228,S37000026,65 and over,"",All,d,4,3.8,5.3,""
20210228,S37000026,All ages,d,All,d,4,5.4,-25.9,""
20210228,S37000026,All ages,d,Female,"",2,2.8,-28.6,""
20210228,S37000026,All ages,d,Male,"",2,2.6,-23.1,""
20210228,S37000027,Under 65,"",All,d,4,3.8,5.3,""
20210228,S37000027,65 and over,"",All,d,17,26.8,-36.6,""
20210228,S37000027,All ages,d,All,d,21,30.6,-31.4,""
20210228,S37000027,All ages,d,Female,"",11,14.6,-24.7,""
20210228,S37000027,All ages,d,Male,"",10,16,-37.5,""
20210228,S37000028,Under 65,"",All,d,18,14.6,23.3,""
20210228,S37000028,65 and over,"",All,d,61,61.4,-0.7,""
20210228,S37000028,All ages,d,All,d,79,76,3.9,""
20210228,S37000028,All ages,d,Female,"",36,38.4,-6.2,""
20210228,S37000028,All ages,d,Male,"",43,37.6,14.4,""
20210228,S37000029,Under 65,"",All,d,5,6.6,-24.2,""
20210228,S37000029,65 and over,"",All,d,22,15.6,41,""
20210228,S37000029,All ages,d,All,d,27,22.2,21.6,""
20210228,S37000029,All ages,d,Female,"",14,11.6,20.7,""
20210228,S37000029,All ages,d,Male,"",13,10.6,22.6,""
20210228,S37000030,Under 65,"",All,d,5,6.4,-21.9,""
20210228,S37000030,65 and over,"",All,d,25,27.2,-8.1,""
20210228,S37000030,All ages,d,All,d,30,33.6,-10.7,""
20210228,S37000030,All ages,d,Female,"",18,17,5.9,""
20210228,S37000030,All ages,d,Male,"",12,16.6,-27.7,""
20210228,S37000031,Under 65,"",All,d,0,1.6,-100,""
20210228,S37000031,65 and over,"",All,d,4,9,-55.6,""
20210228,S37000031,All ages,d,All,d,4,10.6,-62.3,""
20210228,S37000031,All ages,d,Female,"",2,5.2,-61.5,""
20210228,S37000031,All ages,d,Male,"",2,5.4,-63,""
20210228,S37000032,Under 65,"",All,d,15,14.4,4.2,""
20210228,S37000032,65 and over,"",All,d,76,73.6,3.3,""
20210228,S37000032,All ages,d,All,d,91,88,3.4,""
20210228,S37000032,All ages,d,Female,"",45,47.2,-4.7,""
20210228,S37000032,All ages,d,Male,"",46,40.8,12.7,""
20210228,S37000033,Under 65,"",All,d,6,4.8,25,""
20210228,S37000033,65 and over,"",All,d,31,34.2,-9.4,""
20210228,S37000033,All ages,d,All,d,37,39,-5.1,""
20210228,S37000033,All ages,d,Female,"",18,18.8,-4.3,""
20210228,S37000033,All ages,d,Male,"",19,20.2,-5.9,""
20210228,S37000034,Under 65,"",All,d,37,32.8,12.8,""
20210228,S37000034,65 and over,"",All,d,105,105.2,-0.2,""
20210228,S37000034,All ages,d,All,d,142,138,2.9,""
20210228,S37000034,All ages,d,Female,"",81,73.6,10.1,""
20210228,S37000034,All ages,d,Male,"",61,64.4,-5.3,""
20210228,S37000035,Under 65,"",All,d,28,18.8,48.9,""
20210228,S37000035,65 and over,"",All,d,56,55.8,0.4,""
20210228,S37000035,All ages,d,All,d,84,74.6,12.6,""
20210228,S37000035,All ages,d,Female,"",43,37,16.2,""
20210228,S37000035,All ages,d,Male,"",41,37.6,9,""
20210307,S37000001,Under 65,"",All,d,10,9.8,2,""
20210307,S37000001,65 and over,"",All,d,36,37.4,-3.7,""
20210307,S37000001,All ages,d,All,d,46,47.2,-2.5,""
20210307,S37000001,All ages,d,Female,"",17,23.8,-28.6,""
20210307,S37000001,All ages,d,Male,"",29,23.4,23.9,""
20210307,S37000002,Under 65,"",All,d,11,11.4,-3.5,""
20210307,S37000002,65 and over,"",All,d,35,38.6,-9.3,""
20210307,S37000002,All ages,d,All,d,46,50,-8,""
20210307,S37000002,All ages,d,Female,"",19,25.4,-25.2,""
20210307,S37000002,All ages,d,Male,"",27,24.6,9.8,""
20210307,S37000003,Under 65,"",All,d,4,4,0,""
20210307,S37000003,65 and over,"",All,d,24,27.2,-11.8,""
20210307,S37000003,All ages,d,All,d,28,31.2,-10.3,""
20210307,S37000003,All ages,d,Female,"",15,15.8,-5.1,""
20210307,S37000003,All ages,d,Male,"",13,15.4,-15.6,""
20210307,S37000004,Under 65,"",All,d,5,4.2,19,""
20210307,S37000004,65 and over,"",All,d,14,18,-22.2,""
20210307,S37000004,All ages,d,All,d,19,22.2,-14.4,""
20210307,S37000004,All ages,d,Female,"",13,8.4,54.8,""
20210307,S37000004,All ages,d,Male,"",6,13.8,-56.5,""
20210307,S37000005,Under 65,"",All,d,6,4.8,25,""
20210307,S37000005,65 and over,"",All,d,22,24.4,-9.8,""
20210307,S37000005,All ages,d,All,d,28,29.2,-4.1,""
20210307,S37000005,All ages,d,Female,"",13,15,-13.3,""
20210307,S37000005,All ages,d,Male,"",15,14.2,5.6,""
20210307,S37000006,Under 65,"",All,d,11,5.6,96.4,""
